Id,firstName,lastName,salary,managerId
8779,First8779,Last8779,32334,2411
55536,First55536,Last55536,45750,33410
75671,First75671,Last75671,35940,57862
24305,First24305,Last24305,47166,7953
82756,First82756,Last82756,48993,8505
11194,First11194,Last11194,49767,2595
52707,First52707,Last52707,40264,36119
14008,First14008,Last14008,34058,8293
37155,First37155,Last37155,38876,16699
46855,First46855,Last46855,39282,17329
65959,First65959,Last65959,44407,15312
91260,First91260,Last91260,35987,36187
45286,First45286,Last45286,44387,18713
6151,First6151,Last6151,35176,3711
99666,First99666,Last99666,48777,19284
7124,First7124,Last7124,31208,1638
31989,First31989,Last31989,44568,19566
69657,First69657,Last69657,34880,48490
83086,First83086,Last83086,40037,46668
6440,First6440,Last6440,38396,4015
33807,First33807,Last33807,38649,25330
53139,First53139,Last53139,47304,5788
61479,First61479,Last61479,34398,24078
60405,First60405,Last60405,38456,28511
99027,First99027,Last99027,39701,10029
71208,First71208,Last71208,32075,2986
19728,First19728,Last19728,43583,8052
10847,First10847,Last10847,41107,875
80959,First80959,Last80959,32765,49840
95033,First95033,Last95033,41059,64957
75827,First75827,Last75827,45968,48331
63688,First63688,Last63688,37144,34290
44636,First44636,Last44636,31498,9662
50112,First50112,Last50112,31250,630
75769,First75769,Last75769,34491,31588
27303,First27303,Last27303,45537,1831
31332,First31332,Last31332,36399,4696
17955,First17955,Last17955,30554,3657
91203,First91203,Last91203,40103,31439
12362,First12362,Last12362,34518,4989
63431,First63431,Last63431,32552,38353
91842,First91842,Last91842,49523,55311
92311,First92311,Last92311,44876,14165
74645,First74645,Last74645,35504,16948
92079,First92079,Last92079,45623,33265
19396,First19396,Last19396,36147,6567
16938,First16938,Last16938,42594,7588
2192,First2192,Last2192,36533,962
40262,First40262,Last40262,32154,10146
80891,First80891,Last80891,40713,57950
58366,First58366,Last58366,42005,38571
25978,First25978,Last25978,35484,11824
72162,First72162,Last72162,32984,6308
16541,First16541,Last16541,34545,3417
97989,First97989,Last97989,37973,54141
14760,First14760,Last14760,48921,3800
33789,First33789,Last33789,49813,17337
11748,First11748,Last11748,38975,3166
24519,First24519,Last24519,48248,14450
16215,First16215,Last16215,47379,9876
92128,First92128,Last92128,40131,14586
97638,First97638,Last97638,38506,75990
91693,First91693,Last91693,49849,6503
28433,First28433,Last28433,36074,7955
88058,First88058,Last88058,41638,51967
6210,First6210,Last6210,46664,5165
99897,First99897,Last99897,32901,4114
15397,First15397,Last15397,39601,4732
3216,First3216,Last3216,36375,194
36331,First36331,Last36331,47456,17976
46068,First46068,Last46068,43854,9218
76686,First76686,Last76686,36374,10694
95825,First95825,Last95825,43506,33042
65358,First65358,Last65358,44736,10199
2423,First2423,Last2423,40614,679
65763,First65763,Last65763,47801,44906
20009,First20009,Last20009,41876,9510
35707,First35707,Last35707,34863,27370
34730,First34730,Last34730,38238,17792
31295,First31295,Last31295,33091,6704
92251,First92251,Last92251,49982,41293
52171,First52171,Last52171,49664,11317
8467,First8467,Last8467,43355,4548
83042,First83042,Last83042,48101,51086
5964,First5964,Last5964,40936,3017
40825,First40825,Last40825,45972,26490
25984,First25984,Last25984,40086,13088
46757,First46757,Last46757,30516,12006
75588,First75588,Last75588,45129,41234
73830,First73830,Last73830,39109,14818
19829,First19829,Last19829,38910,2047
96545,First96545,Last96545,42471,29025
96065,First96065,Last96065,46959,64611
330,First330,Last330,44371,144
25404,First25404,Last25404,44137,9745
55244,First55244,Last55244,49561,24450
45489,First45489,Last45489,40539,30042
2174,First2174,Last2174,30035,217
48452,First48452,Last48452,35069,3252
17941,First17941,Last17941,37397,5224
60247,First60247,Last60247,49276,46596
96411,First96411,Last96411,46045,73844
50130,First50130,Last50130,49451,6063
80186,First80186,Last80186,31486,43202
73950,First73950,Last73950,49358,55024
22871,First22871,Last22871,39054,11225
78127,First78127,Last78127,43848,35143
31943,First31943,Last31943,46399,25486
13691,First13691,Last13691,36327,629
38699,First38699,Last38699,40922,2836
41588,First41588,Last41588,40215,16433
40577,First40577,Last40577,49002,12646
18819,First18819,Last18819,39453,13717
57800,First57800,Last57800,49953,21400
18651,First18651,Last18651,34171,14922
39515,First39515,Last39515,46823,13330
